Country_Name,Year,Yield_Potato
Bangladesh,1961,61491
Bangladesh,1962,60217
Bangladesh,1963,62676
Bangladesh,1964,58458
Bangladesh,1965,72386
Bangladesh,1966,81351
Bangladesh,1967,85298
Bangladesh,1968,93601
Bangladesh,1969,94964
Bangladesh,1970,101253
Bangladesh,1971,99607
Bangladesh,1972,98746
Bangladesh,1973,95370
Bangladesh,1974,91192
Bangladesh,1975,93792
Bangladesh,1976,94132
Bangladesh,1977,95033
Bangladesh,1978,101503
Bangladesh,1979,94058
Bangladesh,1980,95056
Bangladesh,1981,97810
Bangladesh,1982,101718
Bangladesh,1983,102748
Bangladesh,1984,104151
Bangladesh,1985,104186
Bangladesh,1986,101724
Bangladesh,1987,100535
Bangladesh,1988,103381
Bangladesh,1989,97860
Bangladesh,1990,91410
Bangladesh,1991,99868
Bangladesh,1992,107931
Bangladesh,1993,106787
Bangladesh,1994,109570
Bangladesh,1995,111665
Bangladesh,1996,112741
Bangladesh,1997,112551
Bangladesh,1998,113972
Bangladesh,1999,112810
Bangladesh,2000,120591
Bangladesh,2001,129163
Bangladesh,2002,126010
Bangladesh,2003,138021
Bangladesh,2004,144313
Bangladesh,2005,148805
Bangladesh,2006,143848
Bangladesh,2007,149768
Bangladesh,2008,165373
Bangladesh,2009,133367
Bangladesh,2010,182299
Bangladesh,2011,180931
Bangladesh,2012,190627
Bangladesh,2013,193790
Bangladesh,2014,193845
Bangladesh,2015,196476
Bangladesh,2016,199250
Bangladesh,2017,204432
Bangladesh,2018,204106
Bangladesh,2019,206131
Bangladesh,2020,208215
Bangladesh,2021,210951
Bhutan,1961,63063
Bhutan,1962,63025
Bhutan,1963,63008
Bhutan,1964,62992
Bhutan,1965,64202
Bhutan,1966,64151
Bhutan,1967,64815
Bhutan,1968,64982
Bhutan,1969,63793
Bhutan,1970,64407
Bhutan,1971,65000
Bhutan,1972,64516
Bhutan,1973,65079
Bhutan,1974,65015
Bhutan,1975,65152
Bhutan,1976,65672
Bhutan,1977,66176
Bhutan,1978,66667
Bhutan,1979,67143
Bhutan,1980,66667
Bhutan,1981,67297
Bhutan,1982,67676
Bhutan,1983,66667
Bhutan,1984,78858
Bhutan,1985,67500
Bhutan,1986,70000
Bhutan,1987,98039
Bhutan,1988,121951
Bhutan,1989,120000
Bhutan,1990,119832
Bhutan,1991,83824
Bhutan,1992,84711
Bhutan,1993,85598
Bhutan,1994,86485
Bhutan,1995,87372
Bhutan,1996,88259
Bhutan,1997,89146
Bhutan,1998,89094
Bhutan,1999,79250
Bhutan,2000,70968
Bhutan,2001,77143
Bhutan,2002,75267
Bhutan,2003,98279
Bhutan,2004,138521
Bhutan,2005,91444
Bhutan,2006,95728
Bhutan,2007,101211
Bhutan,2008,95006
Bhutan,2009,98644
Bhutan,2010,117374
Bhutan,2011,82519
Bhutan,2012,84679
Bhutan,2013,106007
Bhutan,2014,88962
Bhutan,2015,99302
Bhutan,2016,99252
Bhutan,2017,110216
Bhutan,2018,98257
Bhutan,2019,104033
Bhutan,2020,108670
Bhutan,2021,115556
India,1961,72507
India,1962,67041
India,1963,81477
India,1964,62482
India,1965,84033
India,1966,85094
India,1967,74403
India,1968,84410
India,1969,90113
India,1970,78883
India,1971,99755
India,1972,98099
India,1973,88208
India,1974,89457
India,1975,105982
India,1976,117384
India,1977,115731
India,1978,122282
India,1979,125548
India,1980,121521
India,1981,132104
India,1982,129957
India,1983,135456
India,1984,152988
India,1985,148064
India,1986,123639
India,1987,153221
