Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1961","1961","100 g/ha","5738","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1962","1962","100 g/ha","6753","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1963","1963","100 g/ha","6069","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1964","1964","100 g/ha","6011","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1965","1965","100 g/ha","6467","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1966","1966","100 g/ha","6473","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1967","1967","100 g/ha","7926","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1968","1968","100 g/ha","7580","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1969","1969","100 g/ha","7964","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1970","1970","100 g/ha","8740","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1971","1971","100 g/ha","8880","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1972","1972","100 g/ha","9038","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1973","1973","100 g/ha","7572","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1974","1974","100 g/ha","8987","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1975","1975","100 g/ha","9260","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1976","1976","100 g/ha","14535","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1977","1977","100 g/ha","16211","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1978","1978","100 g/ha","18419","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1979","1979","100 g/ha","18660","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1980","1980","100 g/ha","18990","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1981","1981","100 g/ha","18479","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1982","1982","100 g/ha","18114","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1983","1983","100 g/ha","21090","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1984","1984","100 g/ha","23021","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1985","1985","100 g/ha","21647","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1986","1986","100 g/ha","19282","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1987","1987","100 g/ha","18657","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1988","1988","100 g/ha","17542","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1989","1989","100 g/ha","18246","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","15","Wheat","1990","1990","100 g/ha","15034","E","Estimated value",""
