"","Year","Country_Name","Country_Code","Agricultural.land....of.land.area.","Agricultural.machinery..tractors","Arable.land....of.land.area.","Fertilizer.consumption..kilograms.per.hectare.of.arable.land.","CO2.emissions..kt.","Inflation..consumer.prices..annual...","GDP.growth..annual...","Climate.deg.C.","Precipitation.mm.","Yield_Potato","Yield_Rice","Yield_Wheat"
"1",1961,"India","IND",58.84319536,31016,52.4036473,2.17128994,277224,1.69521294,3.72274253,24.37,1188.03,72507,15419,8507
"2",1962,"India","IND",59.35779415,35000,52.7043344,2.88576899,290872.6,3.63221497,2.93112774,24.37,1157.69,67041,13959,8896
"3",1963,"India","IND",59.24747493,40000,52.9633155,3.45399124,304521.2,2.94616136,5.99435326,24.37,1126.18,81477,15498,7929
"4",1964,"India","IND",59.43515214,44000,53.0514363,4.90198565,318169.8,13.3552612,7.45295012,24.38,1098.61,62482,16171,7299
"5",1965,"India","IND",59.59154982,48000,53.2142245,4.95904333,331818.4,9.47475859,-2.6357701,24.39,1079.62,84033,12936,9132
"6",1966,"India","IND",59.71027751,54012,53.3400153,6.93990794,345467,10.8018484,-0.0553288,24.4,1069.39,85094,12952,8268
"7",1967,"India","IND",59.80344344,66000,53.7402588,9.63199399,359115.6,13.0622025,7.82596303,24.4,1066.68,74403,15484,8874
"8",1968,"India","IND",59.99078431,78000,53.8374608,10.9996314,372764.2,3.23741243,3.38792918,24.4,1070.22,84410,16134,11028
"9",1969,"India","IND",59.79839835,90000,53.8061812,12.3893584,386412.8,-0.5841366,6.5397003,24.4,1078.75,90113,16094,11688
"10",1970,"India","IND",59.88584652,1e+05,54.0026033,14.054559,400061.4,5.09226162,5.15722974,24.39,1090.97,78883,16849,12086
"11",1971,"India","IND",59.80680683,143000,53.7321866,16.6303613,413710,3.07993868,1.64293038,24.38,1105.33,99755,17110,13066
"12",1972,"India","IND",59.85019457,170000,53.8768125,17.2792878,359115.6,6.44209746,-0.5533013,24.37,1120.13,98099,16046,13799
"13",1973,"India","IND",60.12094753,184293,54.1653914,17.6256178,372764.2,16.940816,3.29552114,24.36,1133.53,88208,17259,12708
"14",1974,"India","IND",60.29954359,203351,54.3190983,15.9336475,386412.8,28.5987341,1.18533626,24.36,1143.81,89457,15744,11719
"15",1975,"India","IND",60.43811529,227668,54.4324446,21.5882549,468304.4,5.7484303,9.14991202,24.38,1149.24,105982,18582,13384
"16",1976,"India","IND",60.42298003,250884,54.5061029,21.0839396,481953,-7.6339476,1.66310364,24.41,1149.28,117384,16372,14103
"17",1977,"India","IND",60.40347236,294313,54.5067756,26.5076299,454655.8,8.30747009,7.25476459,24.46,1145.21,115731,19613,13866
"18",1978,"India","IND",60.74014779,334138,54.9036557,31.4324396,464582.0545,2.52304876,5.71253209,24.5,1138.47,122282,19912,14798
"19",1979,"India","IND",60.73611172,378714,54.9726052,32.2612026,474508.3091,6.27568337,-5.2381827,24.54,1130.45,125548,16105,15683
"20",1980,"India","IND",60.63251928,382869,54.7741651,33.9727609,484434.5636,11.3460735,6.73582153,24.57,1122.58,121521,20002,14356
"21",1981,"India","IND",60.67590702,417769,54.7936728,37.3489982,494360.8182,13.1125469,6.00620363,24.59,1115.89,132104,19623,16299
"22",1982,"India","IND",60.80035248,461567,54.90601,35.9304363,504287.0727,7.89074279,3.47573324,24.59,1110.09,129957,18497,16913
"23",1983,"India","IND",60.69642371,502581,54.7331318,40.7756311,514213.3273,11.8680813,7.2888929,24.59,1104.69,135456,21833,18158
"24",1984,"India","IND",61.0293994,553555,55.0311282,48.8907089,524139.5818,8.31890712,3.82073786,24.59,1099.15,152988,21272,18432
"25",1985,"India","IND",60.99172942,607773,55.0048937,52.9864253,534065.8364,5.55642423,5.25429922,24.58,1093,148064,23292,18701
"26",1986,"India","IND",60.94195124,648932,54.9608333,58.8559994,543992.0909,8.72972073,4.77656417,24.58,1085.91,123639,22052,20460
"27",1987,"India","IND",61.06000626,697568,54.8922201,51.1179192,553918.3455,8.80112581,3.96535564,24.59,1079.01,153221,21991,19162
"28",1988,"India","IND",60.90798099,750935,54.7788739,66.0964708,563844.6,9.38347186,9.62778292,24.6,1074,158694,25486,20019
"29",1989,"India","IND",61.04588001,925365,54.983368,69.210771,573770.8545,7.07428003,5.94734333,24.6,1072.62,159290,26160,22444
"30",1990,"India","IND",61.01628218,988070,54.9776503,73.5230241,563575.4,8.9712325,5.53345456,24.61,1076.58,157136,26125,21211
"31",1991,"India","IND",61.07446884,1063012,54.8844843,77.9993198,607224,13.8702462,1.05683143,24.61,1087.39,162540,26271,22814
"32",1992,"India","IND",60.97995755,1136160,54.7243869,74.7016644,626293.3,11.787817,5.48239602,24.6,1103.47,160294,26092,23940
"33",1993,"India","IND",61.00585566,1195013,54.6840263,76.1767372,651351.1,6.32689049,4.75077622,24.6,1120.38,149024,28303,23267
"34",1994,"India","IND",60.97524881,1257630,54.6635096,83.4558929,685903,10.2479356,6.65892407,24.6,1133.75,166101,28645,23796
"35",1995,"India","IND",60.85887548,1354864,54.4569974,85.7028553,737856.4,10.2248862,7.57449184,24.62,1139.16,162720,26972,25590
"36",1996,"India","IND",60.73913877,1502000,54.1590009,89.0423288,774070.2,8.97715234,7.54952225,24.65,1132.2,169913,28226,24828
"37",1997,"India","IND",60.87098369,1650000,54.3527323,100.172561,819268.8,7.16425212,4.04982085,24.7,1112.29,193913,28457,26789
"38",1998,"India","IND",60.83499541,1797000,54.2881552,104.067952,836269.9,13.230839,6.18441582,24.76,1085.03,146020,28805,24852
"39",1999,"India","IND",60.88443725,1944000,54.142184,112.17102,901325.2,4.66982038,8.84575556,24.83,1056.64,175712,29782,25901
"40",2000,"India","IND",60.86896566,2091000,54.1270487,103.786118,937858.4,4.00943591,3.84099116,24.9,1033.27,186443,28508,27785
"41",2001,"India","IND",60.70483218,2238000,53.9235636,108.182199,953537.3,3.77929312,4.82396626,24.96,1021.27,183627,31158,27081
"42",2002,"India","IND",60.72938494,2385000,53.9595519,100.329055,985453.3,4.29715204,3.80397532,25.01,1024.7,194173,26163,27621
"43",2003,"India","IND",60.62478348,2532900,53.7466492,105.177204,1011770.9,3.805859,7.86038148,25.05,1040.44,173208,31177,26100
"44",2004,"India","IND",60.66716221,2680800,53.7069612,115.27151,1085666.9,3.76725174,7.92293661,25.08,1063.83,188091,29756,27132
"45",2005,"India","IND",60.58341377,2828700,53.6272489,127.614592,1136466.4,4.24634362,7.92343062,25.1,1090.01,188908,31537,26016
"46",2006,"India","IND",60.50941918,2976600,53.3642317,136.403922,1215205.2,5.79652338,8.06073257,25.11,1114.31,185920,31759,26188
"47",2007,"India","IND",60.4132262,3124500,53.1489747,142.835226,1336737.1,6.37288136,7.66081507,25.11,1132.47,164101,32924,27079
"48",2008,"India","IND",60.45930465,3272400,53.1398935,153.349391,1424383,8.34926705,3.08669806,25.1,1143.78,192973,32509,28022
"49",2009,"India","IND",60.56390611,3420300,53.1160134,167.457296,1564881.1,10.8823529,7.86188883,25.09,1149.16,188103,32366,29071
"50",2010,"India","IND",60.39741826,3568200,52.8082632,179.035877,1659983,11.9893899,8.4975847,25.08,1149.59,199299,33587,28395
"51",2011,"India","IND",60.43004315,3716100,52.798173,180.748291,1756744,8.91179337,5.241315,25.07,1146.06,227240,35878,29886
"52",2012,"India","IND",60.42062566,3864000,52.6525382,163.122022,1909442,9.47899691,5.45638875,25.06,1139.54,217530,36909,31775
"53",2013,"India","IND",60.43946065,4011900,52.6175589,156.495698,1972429.4,10.0178785,6.3861064,25.06,1131.79,227606,36070,31538
"54",2014,"India","IND",60.44955082,4159800,52.624622,163.498079,2147107,6.66565672,7.41022761,25.06,1125.2,229224,35638,31457
"55",2015,"India","IND",60.43172485,4307700,52.6078051,171.038213,2158023.2,4.90697344,7.99625379,25.07,1122.19,231257,36077,27496
"56",2016,"India","IND",60.39909996,4455600,52.5755165,166.003058,2195248.5,4.94821634,8.2563055,25.07,1125.21,205087,37902,30339
"57",2017,"India","IND",60.2839388,4603500,52.4336272,170.569145,2308804.4,3.32817338,6.79538342,25.08,1136.65,223061,38639,31999
"58",2018,"India","IND",60.24356466,4751400,52.2932981,176.071313,2458175.9,3.93882647,6.45385135,25.08,1157.53,239542,39568,33682
"59",2019,"India","IND",60.21981337,4899300,52.2566928,186.456666,2423951.4,3.72950574,3.87143694,25.09,1186.19,230971,40837,35334
"60",2020,"India","IND",60.04586286,5047200,51.9468813,210.65738,2200836.3,6.62343678,-5.8310532,25.1,1220.79,236772,41380,34398
"61",2021,"India","IND",60.04592643,5195100,51.9468813,193.245041,2200836.3,5.13140747,9.05027791,25.11,1259.18,241237,42137,34669
"62",1961,"Bangladesh","BGD",72.8278405,750,66.1058616,2.61475886,9643.45,1.69521294,6.05816083,25.54,2292.83,61491,17005,5738
"63",1962,"Bangladesh","BGD",72.8047937,800,66.0444035,3.14063045,9718.5,3.63221497,5.45303097,25.52,2308.2,60217,15302,6753
"64",1963,"Bangladesh","BGD",72.8278405,850,66.1058616,5.69436374,9793.55,2.94616136,-0.4558943,25.49,2320.33,62676,17690,6069
"65",1964,"Bangladesh","BGD",73.135131,900,66.3747407,5.20833333,9868.6,3.87232992,10.9527886,25.46,2324.4,58458,17070,6011
"66",1965,"Bangladesh","BGD",74.0339556,950,67.4272106,6.17523072,9943.65,2.69521294,1.60625823,25.43,2316.67,72386,16827,6467
"67",1966,"Bangladesh","BGD",74.133825,1000,67.5885381,8.61559445,10018.7,3.63221497,2.566812,25.39,2299.96,81351,15827,6473
"68",1967,"Bangladesh","BGD",74.4795268,1100,67.9342398,10.8560443,10093.75,2.94616136,-1.8758639,25.36,2279.44,85298,16944,7926
"69",1968,"Bangladesh","BGD",74.279788,1300,67.8266882,12.2324159,10168.8,1.87232992,9.48945402,25.33,2260.24,93601,17466,7580
"70",1969,"Bangladesh","BGD",74.3258815,1500,67.6807252,14.7219069,10243.85,0.735841366,1.22085791,25.31,2247.65,94964,17459,7964
"71",1970,"Bangladesh","BGD",74.4948913,2072,67.8881463,16.2045943,10318.9,1.057017033,5.61985229,25.3,2246.39,101253,16862,8740
"72",1971,"Bangladesh","BGD",74.4795268,2270,67.8881463,12.9229377,10393.95,0.177074508,-5.479483,25.3,2255.54,99607,16022,8880
