Country_Code,Country_Name,Year,Climate(deg C),Precipitation(mm)
BGD,Bangladesh,1960,25.56,2279.01
BGD,Bangladesh,1961,25.54,2292.83
BGD,Bangladesh,1962,25.52,2308.2
BGD,Bangladesh,1963,25.49,2320.33
BGD,Bangladesh,1964,25.46,2324.4
BGD,Bangladesh,1965,25.43,2316.67
BGD,Bangladesh,1966,25.39,2299.96
BGD,Bangladesh,1967,25.36,2279.44
BGD,Bangladesh,1968,25.33,2260.24
BGD,Bangladesh,1969,25.31,2247.65
BGD,Bangladesh,1970,25.3,2246.39
BGD,Bangladesh,1971,25.3,2255.54
BGD,Bangladesh,1972,25.31,2269.9
BGD,Bangladesh,1973,25.32,2284.05
BGD,Bangladesh,1974,25.33,2292.68
BGD,Bangladesh,1975,25.34,2290.55
BGD,Bangladesh,1976,25.34,2277.54
BGD,Bangladesh,1977,25.35,2261.31
BGD,Bangladesh,1978,25.36,2250.07
BGD,Bangladesh,1979,25.39,2252.03
BGD,Bangladesh,1980,25.43,2275.52
BGD,Bangladesh,1981,25.49,2324.06
BGD,Bangladesh,1982,25.56,2387.17
BGD,Bangladesh,1983,25.62,2451.62
BGD,Bangladesh,1984,25.67,2504.33
BGD,Bangladesh,1985,25.69,2531.74
BGD,Bangladesh,1986,25.68,2523.13
BGD,Bangladesh,1987,25.64,2483.3
BGD,Bangladesh,1988,25.58,2423.42
BGD,Bangladesh,1989,25.52,2355.2
BGD,Bangladesh,1990,25.47,2289.88
BGD,Bangladesh,1991,25.44,2238.43
BGD,Bangladesh,1992,25.44,2204.88
BGD,Bangladesh,1993,25.46,2187.73
BGD,Bangladesh,1994,25.49,2185.01
BGD,Bangladesh,1995,25.53,2194.86
BGD,Bangladesh,1996,25.56,2215.47
BGD,Bangladesh,1997,25.59,2243.5
BGD,Bangladesh,1998,25.62,2273.57
BGD,Bangladesh,1999,25.66,2300.03
BGD,Bangladesh,2000,25.7,2317.28
BGD,Bangladesh,2001,25.77,2319.56
BGD,Bangladesh,2002,25.86,2303.24
BGD,Bangladesh,2003,25.95,2271.41
BGD,Bangladesh,2004,26.05,2228.54
BGD,Bangladesh,2005,26.12,2179.46
BGD,Bangladesh,2006,26.17,2128.68
BGD,Bangladesh,2007,26.17,2080.71
BGD,Bangladesh,2008,26.14,2039.62
BGD,Bangladesh,2009,26.07,2009.56
BGD,Bangladesh,2010,25.98,1994.38
BGD,Bangladesh,2011,25.89,1998.01
BGD,Bangladesh,2012,25.78,2024.15
BGD,Bangladesh,2013,25.69,2068.87
BGD,Bangladesh,2014,25.6,2121.47
BGD,Bangladesh,2015,25.54,2170.94
BGD,Bangladesh,2016,25.49,2206.33
BGD,Bangladesh,2017,25.47,2216.46
BGD,Bangladesh,2018,25.49,2196.09
BGD,Bangladesh,2019,25.52,2150.39
BGD,Bangladesh,2020,25.58,2085.49
BGD,Bangladesh,2021,25.64,2008.09
BGD,Bangladesh,2022,25.72,1924.35
BTN,Bhutan,1960,10.12,1788.98
BTN,Bhutan,1961,10,1824.97
BTN,Bhutan,1962,9.87,1867.22
BTN,Bhutan,1963,9.75,1903.65
BTN,Bhutan,1964,9.65,1922.16
BTN,Bhutan,1965,9.6,1913.3
BTN,Bhutan,1966,9.59,1884.02
BTN,Bhutan,1967,9.61,1847.19
BTN,Bhutan,1968,9.66,1815.58
BTN,Bhutan,1969,9.73,1802.27
BTN,Bhutan,1970,9.81,1819
BTN,Bhutan,1971,9.9,1863.22
BTN,Bhutan,1972,9.98,1921.68
BTN,Bhutan,1973,10.04,1980.35
BTN,Bhutan,1974,10.07,2025.7
BTN,Bhutan,1975,10.07,2044.23
BTN,Bhutan,1976,10.03,2031.71
BTN,Bhutan,1977,9.97,1998.05
BTN,Bhutan,1978,9.9,1954.21
