Country_Name,Year,Yield_Rice
Bangladesh,1961,17005
Bangladesh,1962,15302
Bangladesh,1963,17690
Bangladesh,1964,17070
Bangladesh,1965,16827
Bangladesh,1966,15827
Bangladesh,1967,16944
Bangladesh,1968,17466
Bangladesh,1969,17459
Bangladesh,1970,16862
Bangladesh,1971,16022
Bangladesh,1972,15716
Bangladesh,1973,18083
Bangladesh,1974,17289
Bangladesh,1975,18531
Bangladesh,1976,17839
Bangladesh,1977,19398
Bangladesh,1978,19385
Bangladesh,1979,18809
Bangladesh,1980,20197
Bangladesh,1981,19545
Bangladesh,1982,20145
Bangladesh,1983,22345
Bangladesh,1984,21454
Bangladesh,1985,21693
Bangladesh,1986,21783
Bangladesh,1987,22399
Bangladesh,1988,22805
Bangladesh,1989,25562
Bangladesh,1990,25661
Bangladesh,1991,26592
Bangladesh,1992,26893
Bangladesh,1993,27185
Bangladesh,1994,25328
Bangladesh,1995,26527
Bangladesh,1996,27629
Bangladesh,1997,27431
Bangladesh,1998,29358
Bangladesh,1999,32139
Bangladesh,2000,34836
Bangladesh,2001,34020
Bangladesh,2002,34902
Bangladesh,2003,35768
Bangladesh,2004,35359
Bangladesh,2005,37814
Bangladesh,2006,38541
Bangladesh,2007,40833
Bangladesh,2008,41441
Bangladesh,2009,42404
Bangladesh,2010,43422
Bangladesh,2011,43917
Bangladesh,2012,44206
Bangladesh,2013,45317
Bangladesh,2014,45382
Bangladesh,2015,45518
Bangladesh,2016,45863
Bangladesh,2017,46619
Bangladesh,2018,47257
Bangladesh,2019,47402
Bangladesh,2020,48088
Bangladesh,2021,48667
Bhutan,1961,20000
Bhutan,1962,20000
Bhutan,1963,20000
Bhutan,1964,20000
Bhutan,1965,20000
Bhutan,1966,20000
Bhutan,1967,20000
Bhutan,1968,20000
Bhutan,1969,20000
Bhutan,1970,20000
Bhutan,1971,20000
Bhutan,1972,20000
Bhutan,1973,20000
Bhutan,1974,20000
Bhutan,1975,20000
Bhutan,1976,20000
Bhutan,1977,20000
Bhutan,1978,20000
Bhutan,1979,20000
Bhutan,1980,20000
Bhutan,1981,20500
Bhutan,1982,20172
Bhutan,1983,20000
Bhutan,1984,21560
Bhutan,1985,19375
Bhutan,1986,18000
Bhutan,1987,17568
Bhutan,1988,16574
Bhutan,1989,16538
Bhutan,1990,20976
Bhutan,1991,12085
Bhutan,1992,13133
Bhutan,1993,14392
Bhutan,1994,16071
Bhutan,1995,16667
Bhutan,1996,16508
Bhutan,1997,17223
Bhutan,1998,17973
Bhutan,1999,18629
Bhutan,2000,17038
Bhutan,2001,17391
Bhutan,2002,19987
Bhutan,2003,22871
Bhutan,2004,28816
Bhutan,2005,26896
Bhutan,2006,27461
Bhutan,2007,27043
Bhutan,2008,39983
Bhutan,2009,27993
Bhutan,2010,31400
Bhutan,2011,32382
Bhutan,2012,36893
Bhutan,2013,36985
Bhutan,2014,37635
Bhutan,2015,40192
Bhutan,2016,38796
Bhutan,2017,40745
Bhutan,2018,42362
Bhutan,2019,40698
Bhutan,2020,42644
Bhutan,2021,41593
India,1961,15419
India,1962,13959
India,1963,15498
India,1964,16171
India,1965,12936
India,1966,12952
India,1967,15484
India,1968,16134
India,1969,16094
India,1970,16849
India,1971,17110
India,1972,16046
India,1973,17259
India,1974,15744
India,1975,18582
India,1976,16372
India,1977,19613
India,1978,19912
India,1979,16105
India,1980,20002
India,1981,19623
India,1982,18497
India,1983,21833
India,1984,21272
India,1985,23292
India,1986,22052
India,1987,21991
India,1988,25486
India,1989,26160
India,1990,26125
India,1991,26271
India,1992,26092
India,1993,28303
India,1994,28645
India,1995,26972
India,1996,28226
India,1997,28457
India,1998,28805
India,1999,29782
India,2000,28508
India,2001,31158
India,2002,26163
India,2003,31177
India,2004,29756
India,2005,31537
India,2006,31759
India,2007,32924
India,2008,32509
India,2009,32366
India,2010,33587
India,2011,35878
India,2012,36909
India,2013,36070
India,2014,35638
India,2015,36077
India,2016,37902
India,2017,38639
India,2018,39568
India,2019,40837
India,2020,41380
India,2021,42137
Kazakhstan,1992,39915
Kazakhstan,1993,36871
Kazakhstan,1994,27937
Kazakhstan,1995,21932
Kazakhstan,1996,26155
Kazakhstan,1997,30765
Kazakhstan,1998,32162
Kazakhstan,1999,28070
Kazakhstan,2000,29723
Kazakhstan,2001,28714
Kazakhstan,2002,30288
Kazakhstan,2003,32696
Kazakhstan,2004,34182
Kazakhstan,2005,33518
Kazakhstan,2006,32966
Kazakhstan,2007,33678
Kazakhstan,2008,33736
Kazakhstan,2009,35323
Kazakhstan,2010,39697
Kazakhstan,2011,37152
Kazakhstan,2012,37712
Kazakhstan,2013,38500
Kazakhstan,2014,39573
Kazakhstan,2015,42756
Kazakhstan,2016,47480
Kazakhstan,2017,46841
Kazakhstan,2018,47590
Kazakhstan,2019,54983
Kazakhstan,2020,54438
Kazakhstan,2021,52132
Kyrgyz Republic,1992,14737
Kyrgyz Republic,1993,9600
Kyrgyz Republic,1994,13000
Kyrgyz Republic,1995,14889
Kyrgyz Republic,1996,17037
Kyrgyz Republic,1997,19180
Kyrgyz Republic,1998,20042
Kyrgyz Republic,1999,24698
Kyrgyz Republic,2000,30488
Kyrgyz Republic,2001,29859
Kyrgyz Republic,2002,31290
Kyrgyz Republic,2003,30069
Kyrgyz Republic,2004,30052
Kyrgyz Republic,2005,29517
