Country_Name,Year,Yield_Wheat
Bangladesh,1961,5738
Bangladesh,1962,6753
Bangladesh,1963,6069
Bangladesh,1964,6011
Bangladesh,1965,6467
Bangladesh,1966,6473
Bangladesh,1967,7926
Bangladesh,1968,7580
Bangladesh,1969,7964
Bangladesh,1970,8740
Bangladesh,1971,8880
Bangladesh,1972,9038
Bangladesh,1973,7572
Bangladesh,1974,8987
Bangladesh,1975,9260
Bangladesh,1976,14535
Bangladesh,1977,16211
Bangladesh,1978,18419
Bangladesh,1979,18660
Bangladesh,1980,18990
Bangladesh,1981,18479
Bangladesh,1982,18114
Bangladesh,1983,21090
Bangladesh,1984,23021
Bangladesh,1985,21647
Bangladesh,1986,19282
Bangladesh,1987,18657
Bangladesh,1988,17542
Bangladesh,1989,18246
Bangladesh,1990,15034
Bangladesh,1991,16767
Bangladesh,1992,18534
Bangladesh,1993,18457
Bangladesh,1994,18390
Bangladesh,1995,19483
Bangladesh,1996,19531
Bangladesh,1997,20544
Bangladesh,1998,22408
Bangladesh,1999,21627
Bangladesh,2000,22104
Bangladesh,2001,21643
Bangladesh,2002,21644
Bangladesh,2003,21327
Bangladesh,2004,19527
Bangladesh,2005,17478
Bangladesh,2006,15344
Bangladesh,2007,18471
Bangladesh,2008,21753
Bangladesh,2009,21516
Bangladesh,2010,23959
Bangladesh,2011,26012
Bangladesh,2012,27789
Bangladesh,2013,30138
Bangladesh,2014,30319
Bangladesh,2015,30860
Bangladesh,2016,30310
Bangladesh,2017,31576
Bangladesh,2018,31302
Bangladesh,2019,30780
Bangladesh,2020,30970
Bangladesh,2021,32996
Bhutan,1961,10204
Bhutan,1962,10200
Bhutan,1963,10196
Bhutan,1964,10192
Bhutan,1965,10189
Bhutan,1966,10182
Bhutan,1967,10175
Bhutan,1968,10169
Bhutan,1969,10164
Bhutan,1970,10159
Bhutan,1971,10154
Bhutan,1972,10149
Bhutan,1973,10145
Bhutan,1974,10141
Bhutan,1975,10137
Bhutan,1976,10133
Bhutan,1977,10000
Bhutan,1978,10000
Bhutan,1979,10000
Bhutan,1980,10000
Bhutan,1981,10941
Bhutan,1982,10526
Bhutan,1983,11000
Bhutan,1984,11366
Bhutan,1985,10000
Bhutan,1986,9167
Bhutan,1987,8000
Bhutan,1988,6396
Bhutan,1989,6386
Bhutan,1990,7692
Bhutan,1991,8333
Bhutan,1992,9091
Bhutan,1993,11667
Bhutan,1994,12500
Bhutan,1995,13000
Bhutan,1996,14167
Bhutan,1997,15385
Bhutan,1998,15385
Bhutan,1999,15385
Bhutan,2000,9457
Bhutan,2001,10000
Bhutan,2002,11269
Bhutan,2003,14239
Bhutan,2004,13656
Bhutan,2005,12754
Bhutan,2006,13481
Bhutan,2007,12921
Bhutan,2008,17655
Bhutan,2009,14371
Bhutan,2010,21637
Bhutan,2011,26686
Bhutan,2012,22471
Bhutan,2013,23392
Bhutan,2014,22341
Bhutan,2015,19016
Bhutan,2016,16751
Bhutan,2017,18237
Bhutan,2018,12677
Bhutan,2019,13130
Bhutan,2020,16321
Bhutan,2021,12624
India,1961,8507
India,1962,8896
India,1963,7929
India,1964,7299
India,1965,9132
India,1966,8268
India,1967,8874
India,1968,11028
India,1969,11688
India,1970,12086
India,1971,13066
India,1972,13799
India,1973,12708
India,1974,11719
India,1975,13384
India,1976,14103
India,1977,13866
India,1978,14798
India,1979,15683
India,1980,14356
India,1981,16299
India,1982,16913
India,1983,18158
India,1984,18432
India,1985,18701
India,1986,20460
India,1987,19162
India,1988,20019
India,1989,22444
India,1990,21211
India,1991,22814
India,1992,23940
India,1993,23267
India,1994,23796
India,1995,25590
India,1996,24828
India,1997,26789
India,1998,24852
India,1999,25901
India,2000,27785
India,2001,27081
India,2002,27621
India,2003,26100
India,2004,27132
India,2005,26016
India,2006,26188
India,2007,27079
India,2008,28022
India,2009,29071
India,2010,28395
India,2011,29886
India,2012,31775
India,2013,31538
India,2014,31457
India,2015,27496
India,2016,30339
India,2017,31999
India,2018,33682
India,2019,35334
India,2020,34398
India,2021,34669
Kazakhstan,1992,13324
Kazakhstan,1993,9178
Kazakhstan,1994,7490
Kazakhstan,1995,5748
Kazakhstan,1996,6835
Kazakhstan,1997,8449
Kazakhstan,1998,5200
Kazakhstan,1999,12868
Kazakhstan,2000,9028
Kazakhstan,2001,11803
Kazakhstan,2002,10895
Kazakhstan,2003,10250
Kazakhstan,2004,8432
Kazakhstan,2005,9480
Kazakhstan,2006,11348
Kazakhstan,2007,12983
Kazakhstan,2008,9715
Kazakhstan,2009,11941
Kazakhstan,2010,7336
Kazakhstan,2011,16609
Kazakhstan,2012,7929
